,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,45,8,0.698113194,0.064009662,12.79032258,0.459016393,5.29973559,12.79032258,364,790,2.509603073,5,6.735443038
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,33,6,0.692307675,0.108635097,16.76190476,0.5,6.904761905,16.76190476,176,350,2.734285714,9,7.054285714
41,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,45,15,0.499999992,0.054298642,14.375,0.50821256,5.953285024,14.375,526,1032,2.716944172,8,7.040697674
42,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,25,70,-0.473684206,0.143939394,8.445945946,0.472,3.567178378,8.445945946,295,619,2.577170418,12,6.882067851
43,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,58,22,0.449999994,0.111420613,8.883116883,0.384502924,3.707047923,8.883116883,263,679,2.387573964,6,6.583210604
44,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,25,32,-0.122807015,0.07734057,13.68627451,0.38252149,5.6275184,13.68627451,267,697,2.367952522,1,6.517934003
45,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,25,21,0.08695652,0.058007566,10.05555556,0.512430939,4.227194598,10.05555556,371,720,2.726507714,7,7.3625
46,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,24,73,-0.505154634,0.143067846,9.228571429,0.476780186,3.882140646,9.228571429,308,638,2.565420561,14,6.86677116
47,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,23,11,0.352941166,0.065510597,12.57894737,0.472803347,5.220700286,12.57894737,226,477,2.544468547,6,6.884696017
48,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,11,6,0.29411763,0.055921052,18.4,0.471014493,7.548405797,18.4,130,276,2.714814815,1,7.217391304
49,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,28,17,0.244444439,0.076142132,19.57142857,0.481751825,8.021272158,19.57142857,264,548,2.6567718,1,7.23540146
50,87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,24,29,-0.094339621,0.062279671,12.85483871,0.47553325,5.332148784,12.85483871,379,793,2.577319588,6,6.962168979
51,88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,37,11,0.541666655,0.017731806,8.956521739,0.399382171,3.742361564,8.956521739,905,2264,2.377777778,1,6.312279152
52,89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,38,42,-0.049999999,0.074142725,11.78409091,0.494696239,4.911514859,11.78409091,513,1032,2.614173228,11,7.037790698
53,90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,31,64,-0.347368417,0.085354897,15.25373134,0.560665362,6.325758682,15.25373134,573,1022,2.756,1,7.274951076
54,91,https://insights.blackcoffer.com/human-rights-outlook/,6,1,0.714285612,0.033980582,17.36363636,0.502617801,7.146501666,17.36363636,96,190,2.860215054,3,7.4
55,92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,31,4,0.771428549,0.054517134,14.19047619,0.466442953,5.862767657,14.19047619,278,593,2.524054983,2,6.752107926
56,93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,37,34,0.042253521,0.069744597,8.467213115,0.458857696,3.570428324,8.467213115,474,1023,2.563476563,6,6.958944282
57,94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,55,15,0.571428563,0.062555853,11.67777778,0.48715509,4.865973147,11.67777778,512,1047,2.551456311,6,6.910219675
58,95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,33,33,0,0.087417218,14.1372549,0.445214979,5.832987952,14.1372549,321,716,2.565957447,4,6.907821229
59,96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,19,44,-0.396825391,0.051597052,14.44871795,0.481810115,5.972211226,14.44871795,543,1127,2.715238095,2,7.085181899
60,97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,19,40,-0.355932197,0.084527221,12.26415094,0.473846154,5.095198839,12.26415094,308,650,2.64556962,4,7.049230769
61,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,39,48,-0.103448275,0.112403101,9.881578947,0.467376831,4.139582311,9.881578947,351,746,2.563587684,28,6.821715818
62,99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,27,27,0,0.07860262,17.46341463,0.476256983,7.175868647,17.46341463,341,714,2.626062323,13,6.924369748
63,100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,19,37,-0.321428566,0.061336254,12.43939394,0.487210719,5.170641863,12.43939394,400,818,2.789473684,3,7.397310513
64,101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,7,3,0.39999996,0.043290043,16.61538462,0.490740741,6.842450142,16.61538462,106,215,2.788461538,3,7.172093023
65,102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,31,46,-0.194805192,0.099611902,11.46031746,0.451523546,4.764736402,11.46031746,326,718,2.498583569,12,6.784122563
66,103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,11,24,-0.371428561,0.063291139,12.81578947,0.472279261,5.315227494,12.81578947,230,482,2.686403509,5,7.041493776
67,104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,31,54,-0.270588232,0.107187894,13.60714286,0.494750656,5.640757405,13.60714286,377,762,2.689333333,3,7.223097113
68,105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,24,34,-0.17241379,0.088145897,14.47727273,0.469387755,5.978664193,14.47727273,299,636,2.552380952,6,6.83490566
69,106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,4,0,0.99999975,0.016194332,23.66666667,0.539906103,9.682629108,23.66666667,115,213,2.753554502,1,7.478873239
70,107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,16,2,0.777777735,0.040449438,12.38235294,0.42280285,5.122062317,12.38235294,178,418,2.534939759,3,6.832535885
71,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,52,-0.238095235,0.123529412,16.7027027,0.504854369,6.883022829,16.7027027,312,618,2.687086093,4,7.309061489
72,109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,32,24,0.14285714,0.123620309,13.02857143,0.348684211,5.350902256,13.02857143,159,454,2.379157428,38,6.433920705
73,110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,8,36,-0.636363622,0.056628057,13.12962963,0.489421721,5.44762054,13.12962963,347,709,2.651537335,1,7.218617772
74,111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,16,29,-0.288888882,0.063113604,12.08928571,0.509601182,5.039554758,12.08928571,345,675,2.686478455,1,7.321481481
75,112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,28,51,-0.291139237,0.099747475,12.92727273,0.499296765,5.370627797,12.92727273,355,710,2.662374821,2,7.236619718
76,113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,19,21,-0.049999999,0.069444444,14.53846154,0.481481481,6.007977208,14.53846154,273,566,2.577264654,8,7.035335689
77,114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,51,47,0.040816326,0.095609756,12.33333333,0.452182952,5.114206514,12.33333333,435,958,2.526709402,3,6.764091858
78,115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,24,39,-0.238095234,0.058279371,13.53947368,0.481049563,5.608209299,13.53947368,495,1029,2.6278826,3,6.792031098
79,116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,27,25,0.038461538,0.096296296,20.20689655,0.305460751,8.204942921,20.20689655,179,586,2.233096085,43,5.994880546
80,117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,39,65,-0.249999998,0.086235489,15.06849315,0.48,6.21939726,15.06849315,528,1098,2.608372093,8,7.134790528
81,118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,36,52,-0.18181818,0.114285714,9.209876543,0.40080429,3.844272333,9.209876543,299,737,2.427027027,8,6.466757123
82,119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,11,14,-0.119999995,0.071022727,13.08333333,0.506369427,5.435881104,13.08333333,159,314,2.894915254,2,7.601910828
83,120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,49,91,-0.299999998,0.088383838,14.34,0.458158996,5.919263598,14.34,657,1431,2.50109569,7,6.809224319
84,121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,37,64,-0.26732673,0.123020706,12.85294118,0.386727689,5.295867546,12.85294118,338,867,2.353757225,35,6.365628604
85,122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,36,66,-0.294117644,0.086808511,10.70588235,0.456043956,4.464770524,10.70588235,498,1088,2.536259542,13,6.711397059
86,123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,43,78,-0.289256196,0.10467128,13.80487805,0.472614841,5.710997156,13.80487805,535,1130,2.575045208,8,6.891150442
87,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,23,41,-0.281249996,0.085447263,11.69491525,0.460869565,4.862313928,11.69491525,318,687,2.63875969,8,6.828238719
88,125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,60,17,0.558441551,0.062703583,16.63636364,0.512750455,6.859645637,16.63636364,563,1096,2.715485075,3,7.25
89,126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,19,24,-0.116279067,0.066770186,16.22222222,0.477739726,6.679984779,16.22222222,279,583,2.647058824,4,7.025728988
90,127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,38,83,-0.371900823,0.12710084,13.43076923,0.476517755,5.562914794,13.43076923,416,869,2.660377358,7,7.072497123
91,128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,11,17,-0.214285707,0.093333333,14.05263158,0.516853933,5.827794205,14.05263158,138,266,2.78490566,3,7.526315789
92,129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,6,0.142857133,0.031390134,13.93103448,0.495049505,5.770433595,13.93103448,200,404,2.781002639,2,7.155940594
93,130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,26,57,-0.373493971,0.067865903,20.52727273,0.428697963,8.382388276,20.52727273,484,1129,2.717690192,3,7.118689105
94,131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,84,32,0.448275858,0.095630668,14.76315789,0.48573975,6.099559058,14.76315789,545,1117,2.596745027,1,7.06266786
95,132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,30,22,0.153846151,0.052684904,12.97014925,0.483314154,5.381385363,12.97014925,420,867,2.701900238,7,7.158016148
96,133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,29,19,0.208333329,0.083333333,17.12903226,0.578154426,7.082874673,17.12903226,307,531,2.866156788,1,7.593220339
97,134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,10,10,0,0.054054054,20.53333333,0.535714286,8.427619048,20.53333333,165,307,2.894736842,5,7.501628664
98,135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,9,7,0.124999992,0.050473186,15.2,0.407894737,6.243157895,15.2,124,303,2.53,8,6.749174917
99,136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,3,16,-0.68421049,0.054755043,16,0.539473684,6.615789474,16,164,304,2.839590444,5,7.5
100,137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,7,7,0,0.048442906,17.85714286,0.468,7.330057143,17.85714286,117,250,2.764705882,4,7.064
101,138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,8,11,-0.157894729,0.070895522,12.4,0.564516129,5.185806452,12.4,140,248,2.922764228,7,7.612903226
102,139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,11,3,0.571428531,0.052238806,11.78947368,0.477678571,4.906860902,11.78947368,107,224,2.879807692,1,7.263392857
103,140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,17,51,-0.499999993,0.098265896,12.33962264,0.452599388,5.116888812,12.33962264,296,654,2.57096248,1,6.762996942
104,141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,8,20,-0.428571413,0.071611253,17.66666667,0.460916442,7.251033243,17.66666667,171,368,2.622222222,4,6.994565217
105,142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,40,69,-0.266055043,0.090306545,13.03448276,0.515873016,5.42014231,13.03448276,585,1133,2.715722121,1,7.065313327
106,143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,8,24,-0.499999984,0.066945607,12.24324324,0.479028698,5.088908776,12.24324324,217,452,2.628635347,2,7.157079646
108,145,https://insights.blackcoffer.com/blockchain-in-fintech/,14,11,0.119999995,0.048828125,13.36842105,0.5,5.547368421,13.36842105,254,505,2.634920635,3,7.417821782
109,146,https://insights.blackcoffer.com/blockchain-for-payments/,24,27,-0.058823528,0.077389985,10.96551724,0.493710692,4.583691173,10.96551724,314,634,2.661881978,10,7.451104101
110,147,https://insights.blackcoffer.com/the-future-of-investing/,38,12,0.51999999,0.061124694,13,0.50265252,5.401061008,13,379,754,2.674355495,2,7.143236074
111,148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,29,46,-0.226666664,0.089073634,10.09090909,0.526383526,4.246917047,10.09090909,409,777,2.658409387,3,7.002574003
112,149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,32,3,0.828571405,0.076086956,14.53333333,0.571100917,6.0417737,14.53333333,249,434,2.886574074,1,7.81797235
113,150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,36,41,-0.064935064,0.104619565,10.20289855,0.477272727,4.272068511,10.20289855,336,701,2.619456366,9,7.022824536
